Team,Elo Rating
Roller Derby Brest / Toustes Étoiles,705
Paris Roller Derby / All-Stars,711
Panhandle United Roller Derby / Panhandle United Roller Derby Allstars,706
Antwerp Roller Derby / Pack of Destruction,689
Bogotá Bone Breakers,683
Atomic Bombs Roller Derby / Atomic Bombs ,679
2x4 Roller Derby / Lxs Pibxs,636
Sailor City Rollers,702
Bogota Bone Breakers,720
2x4 Roller Derby / Team Osom,740
Copenhagen Roller Derby / Copenhagen Roller Derby A-Team,712
Gotham Roller Derby  / Gotham Roller Derby Wall Street Traitors,717
Connecticut Roller Derby / Connecticut All Stars ,685
Reading Roller Derby,700
London Roller Derby / London Brawling,766
Wasatch Roller Derby / Midnight Terror,683
Rose City Rollers / Wheels of Justice,725
Rat City Roller Derby / Rat City Roller Derby All Stars,705
Peninsula Roller Derby / Supernovas A ,696
Montreal Roller Derby / New Skids on the Block,725
Harrisburg Area Roller Derby / Nuclear Knockouts,739
Eves of Destruction,667
Denver Roller Derby / Mile High Club,733
West Coast Derby Knockouts / TKOs,705
Victorian Roller Derby League / All Stars,730
Home Team,713
Pikes Peak Roller Derby / All-Stars,702
Peninsula Roller Derby / Supernovas B ,685
Peninsula Roller Derby  / Supernovas B,665
Nantes Roller Derby / Les Duc.hesse.s,687
Fabulous Sin City Roller Derby / Ace of Spades,707
Fabulous Sin City Roller Derby / Black Spade Bruisers,686
Columbia Roller Derby / Columbia QuadSquad,715
CENTRAL COAST ROLLER DERBY / THE SK805,695
Black n Bluegrass Rollergirls / Blackouts,708
Bergen Roller Derby / Wet City Rollers,700
Angel City Derby / Hollywood Scarlets,674
Arch Rival Roller Derby / Arch Rival All Stars,756
Zurich City Roller Derby / Allstar Z,702
Windy City Rollers / All Star,701
Windy City Rollers / Second Wind,658
Queer City Roller Derby / Lake Effect Furies,696
Oxford Roller Derby / Oxford Roller Derby Blackbirds,691
Oslo Roller Derby / Oslo Roller Derby A,643
Norfolk Roller Derby / Norfolk Brawds A Team,676
Windy City Rollers / All Stars,690
Santa Cruz Roller Derby / Boardwalk Bombshells,689
Quad City Rollers,725
