Team,Glicko-2 Rating,Rating Deviation,Rating Volatility,V,Delta
Roller Derby Brest / Toustes Étoiles,1500,350,0.06,0,0
Paris Roller Derby / All-Stars,1500,350,0.06,0,0
Panhandle United Roller Derby / Panhandle United Roller Derby Allstars,1500,350,0.06,0,0
Antwerp Roller Derby / Pack of Destruction,1500,350,0.06,0,0
Bogotá Bone Breakers,1500,350,0.06,0,0
Atomic Bombs Roller Derby / Atomic Bombs ,1500,350,0.06,0,0
2x4 Roller Derby / Lxs Pibxs,1500,350,0.06,0,0
Sailor City Rollers,1500,350,0.06,0,0
Bogota Bone Breakers,1500,350,0.06,0,0
2x4 Roller Derby / Team Osom,1500,350,0.06,0,0
Copenhagen Roller Derby / Copenhagen Roller Derby A-Team,1500,350,0.06,0,0
Gotham Roller Derby  / Gotham Roller Derby Wall Street Traitors,1500,350,0.06,0,0
Connecticut Roller Derby / Connecticut All Stars ,1500,350,0.06,0,0
Reading Roller Derby,1500,350,0.06,0,0
London Roller Derby / London Brawling,1500,350,0.06,0,0
Wasatch Roller Derby / Midnight Terror,1500,350,0.06,0,0
Rose City Rollers / Wheels of Justice,1500,350,0.06,0,0
Rat City Roller Derby / Rat City Roller Derby All Stars,1500,350,0.06,0,0
Peninsula Roller Derby / Supernovas A ,1500,350,0.06,0,0
Montreal Roller Derby / New Skids on the Block,1500,350,0.06,0,0
Harrisburg Area Roller Derby / Nuclear Knockouts,1500,350,0.06,0,0
Eves of Destruction,1500,350,0.06,0,0
Denver Roller Derby / Mile High Club,1500,350,0.06,0,0
West Coast Derby Knockouts / TKOs,1500,350,0.06,0,0
Victorian Roller Derby League / All Stars,1500,350,0.06,0,0
Home Team,1500,350,0.06,0,0
Pikes Peak Roller Derby / All-Stars,1500,350,0.06,0,0
Peninsula Roller Derby / Supernovas B ,1500,350,0.06,0,0
Peninsula Roller Derby  / Supernovas B,1500,350,0.06,0,0
Nantes Roller Derby / Les Duc.hesse.s,1500,350,0.06,0,0
Fabulous Sin City Roller Derby / Ace of Spades,1500,350,0.06,0,0
Fabulous Sin City Roller Derby / Black Spade Bruisers,1500,350,0.06,0,0
Columbia Roller Derby / Columbia QuadSquad,1500,350,0.06,0,0
CENTRAL COAST ROLLER DERBY / THE SK805,1500,350,0.06,0,0
Black n Bluegrass Rollergirls / Blackouts,1500,350,0.06,0,0
Bergen Roller Derby / Wet City Rollers,1500,350,0.06,0,0
Angel City Derby / Hollywood Scarlets,1500,350,0.06,0,0
Arch Rival Roller Derby / Arch Rival All Stars,1500,350,0.06,0,0
Zurich City Roller Derby / Allstar Z,1500,350,0.06,0,0
Windy City Rollers / All Star,1500,350,0.06,0,0
Windy City Rollers / Second Wind,1500,350,0.06,0,0
Queer City Roller Derby / Lake Effect Furies,1500,350,0.06,0,0
Oxford Roller Derby / Oxford Roller Derby Blackbirds,1500,350,0.06,0,0
Oslo Roller Derby / Oslo Roller Derby A,1500,350,0.06,0,0
Norfolk Roller Derby / Norfolk Brawds A Team,1500,350,0.06,0,0
Windy City Rollers / All Stars,1500,350,0.06,0,0
Santa Cruz Roller Derby / Boardwalk Bombshells,1500,350,0.06,0,0
Quad City Rollers,1500,350,0.06,0,0
Norfolk Roller Derby / Norfolk Brawds - A Team,1500,350,0.06,0,0
Gotham Roller Derby / Wall Street Traitors,1500,350,0.06,0,0
Gotham Roller Derby / All Stars,1500,350,0.06,0,0
2x4 Roller Derby / OSOM,1500,350,0.06,0,0
Tiger Bay Brawlers / Allstars,1500,350,0.06,0,0
Tiger Bay Brawlers / Challengers,1500,350,0.06,0,0
St. Pauli Roller Derby / A,1500,350,0.06,0,0
P,1500,350,0.06,0,0
Oulu Roller Derby,1500,350,0.06,0,0
Kansas City Roller Warriors / Kansas City Roller Warriors All-Stars,1500,350,0.06,0,0
Dock City Rollers / Anchors,1500,350,0.06,0,0
Crime City Rollers / B,1500,350,0.06,0,0
Copenhagen Roller Derby / Copenhagen Roller Derby A,1500,350,0.06,0,0
Brussels Roller Derby / La Drache,1500,350,0.06,0,0
Bristol Roller Derby / Charter Team,1500,350,0.06,0,0
Birmingham Roller Derby / (A team),1500,350,0.06,0,0
Auld Reekie Roller Derby / A,1500,350,0.06,0,0
Tiger Bay Brawlers / All Stars,1500,350,0.06,0,0
Santa Cruz Roller Derby / Santa Cruz Boardwalk Bombshells - A,1500,350,0.06,0,0
Peninsula Roller Derby / Slam Andreas,1500,350,0.06,0,0
Humboldt Roller Derby / Redwood Rollers,1500,350,0.06,0,0
Free State RD / Black Eyed Suzies,1500,350,0.06,0,0
Chicago-Style Roller Derby / A Team,1500,350,0.06,0,0
Bradentucky Bombers Roller Derby A,1500,350,0.06,0,0
BELFAST ROLLER DERBY,1500,350,0.06,0,0
Bakersfield Diamond Divas / Diamond Divas,1500,350,0.06,0,0
Auld Reekie Roller Derby / B,1500,350,0.06,0,0
Texas Texecutioners,1500,350,0.06,0,0
Tampa Bruise Crew,1500,350,0.06,0,0
Bear City Roller Derby,1500,350,0.06,0,0
Vienna Roller Derby / Vienna Roller Derby All Stars,1500,350,0.06,0,0
Texas Chainsaws,1500,350,0.06,0,0
Tampa Tantrums,1500,350,0.06,0,0
SoCal Derby / The Cuttlefish,1500,350,0.06,0,0
SoCal Derby / The Kraken,1500,350,0.06,0,0
Roller Derby Toulouse / Nothing Toulouse,1500,350,0.06,0,0
Roller Derby Iceland / Ragnarök,1500,350,0.06,0,0
Rainy City Roller Derby / All Stars,1500,350,0.06,0,0
Paris Roller Derby / All Stars,1500,350,0.06,0,0
Harpies Roller Derby Milano / Harpies,1500,350,0.06,0,0
Grand Raggidy Roller Derby / All-Stars,1500,350,0.06,0,0
Crime City Rollers / A-team,1500,350,0.06,0,0
Auverniaks Roller Derby / Les Auver'Niaks,1500,350,0.06,0,0
Arizona Roller Derby / Arizona Rising,1500,350,0.06,0,0
ROCK AND ROLLER QUEENS,1500,350,0.06,0,0
CAPITAL RATS ROLLER DERBY,1500,350,0.06,0,0
Wine Town Roller Derby / Whine Makers,1500,350,0.06,0,0
West Coast Derby Knockouts,1500,350,0.06,0,0
Twin Valleys Roller Derby,1500,350,0.06,0,0
Monterey Bay Roller Derby / Beasts of Eden,1500,350,0.06,0,0
Lowcontry Highrollers / All Stars,1500,350,0.06,0,0
Lomme Roller Derby / Bad Bunnies,1500,350,0.06,0,0
